curvature_interval,curvature_bin_mid,n_edges,GCN(without CL)_accuracy,GCN(with CL)_accuracy,accuracy_diff_plusCL_minus_noCL
"[-0.710, -0.683)",-0.6967915780842304,,,,
"[-0.683, -0.656)",-0.669657614082098,,,,
"[-0.656, -0.629)",-0.6425236500799656,1.0,1.0,1.0,0.0
"[-0.629, -0.602)",-0.6153896860778332,4.0,0.25,0.5,0.25
"[-0.602, -0.575)",-0.5882557220757008,8.0,0.875,0.75,-0.125
"[-0.575, -0.548)",-0.5611217580735683,12.0,0.5,0.5833333333333334,0.08333333333333337
"[-0.548, -0.520)",-0.5339877940714359,14.0,0.5714285714285714,0.7857142857142857,0.2142857142857143
"[-0.520, -0.493)",-0.5068538300693035,24.0,0.5833333333333334,0.6666666666666666,0.08333333333333326
"[-0.493, -0.466)",-0.4797198660671711,46.0,0.6086956521739131,0.782608695652174,0.17391304347826086
"[-0.466, -0.439)",-0.4525859020650387,66.0,0.5151515151515151,0.6666666666666666,0.1515151515151515
"[-0.439, -0.412)",-0.42545193806290627,93.0,0.6666666666666666,0.7849462365591398,0.11827956989247312
"[-0.412, -0.385)",-0.39831797406077385,166.0,0.6506024096385542,0.7951807228915663,0.14457831325301207
"[-0.385, -0.358)",-0.37118401005864143,220.0,0.6863636363636364,0.8045454545454546,0.11818181818181817
"[-0.358, -0.330)",-0.344050046056509,339.0,0.7256637168141593,0.855457227138643,0.12979351032448372
"[-0.330, -0.303)",-0.3169160820543766,528.0,0.6988636363636364,0.7973484848484849,0.09848484848484851
"[-0.303, -0.276)",-0.2897821180522442,673.0,0.7607726597325408,0.8707280832095097,0.10995542347696885
"[-0.276, -0.249)",-0.26264815405011177,804.0,0.7313432835820896,0.8544776119402985,0.12313432835820892
"[-0.249, -0.222)",-0.23551419004797935,927.0,0.7454153182308522,0.866235167206041,0.12081984897518883
"[-0.222, -0.195)",-0.20838022604584694,1042.0,0.8243761996161229,0.8925143953934741,0.06813819577735125
"[-0.195, -0.168)",-0.18124626204371452,1188.0,0.8047138047138047,0.8897306397306397,0.08501683501683499
"[-0.168, -0.141)",-0.1541122980415821,1196.0,0.8336120401337793,0.9088628762541806,0.07525083612040129
"[-0.141, -0.113)",-0.1269783340394497,1261.0,0.8945281522601111,0.9373513084853291,0.04282315622521804
"[-0.113, -0.086)",-0.09984437003731728,1102.0,0.8838475499092558,0.9428312159709619,0.05898366606170602
"[-0.086, -0.059)",-0.07271040603518486,1022.0,0.9021526418786693,0.9500978473581213,0.047945205479452024
"[-0.059, -0.032)",-0.045576442033052444,860.0,0.9023255813953488,0.9430232558139535,0.04069767441860472
"[-0.032, -0.005)",-0.01844247803092003,626.0,0.9361022364217252,0.963258785942492,0.02715654952076685
"[-0.005,  0.022)",0.008691485971212387,857.0,0.6814469078179697,0.7701283547257877,0.08868144690781798
"[ 0.022,  0.049)",0.0358254499733448,263.0,0.8479087452471483,0.8935361216730038,0.04562737642585546
"[ 0.049,  0.077)",0.06295941397547722,183.0,0.8469945355191257,0.912568306010929,0.06557377049180324
"[ 0.077,  0.104)",0.09009337797760963,136.0,0.7867647058823529,0.8823529411764706,0.09558823529411764
"[ 0.104,  0.131)",0.11722734197974205,115.0,0.808695652173913,0.8434782608695652,0.034782608695652195
"[ 0.131,  0.158)",0.14436130598187447,72.0,0.8472222222222222,0.9444444444444444,0.09722222222222221
"[ 0.158,  0.185)",0.17149526998400688,51.0,0.8431372549019608,0.9019607843137255,0.05882352941176472
"[ 0.185,  0.212)",0.1986292339861393,48.0,0.8333333333333334,0.9166666666666666,0.08333333333333326
"[ 0.212,  0.239)",0.2257631979882717,37.0,0.9459459459459459,0.972972972972973,0.027027027027027084
"[ 0.239,  0.266)",0.25289716199040413,20.0,0.85,0.95,0.09999999999999998
"[ 0.266,  0.294)",0.28003112599253654,9.0,0.7777777777777778,0.8888888888888888,0.11111111111111105
"[ 0.294,  0.321)",0.30716508999466896,5.0,1.0,1.0,0.0
"[ 0.321,  0.348)",0.3342990539968014,3.0,0.0,0.3333333333333333,0.3333333333333333
"[ 0.348,  0.375)",0.3614330179989338,2.0,0.0,0.0,0.0
